song_id,title,release,artist_name,Genre
1,Aankh Marey,Simmba,"Kumar Sanu, Mika Singh, Neha Kakkar",Dance
2,Coca Cola,Luka Chuppi,"Neha Kakkar, Tony Kakkar",DanceRomantic
3,Apna Time Aayega,Gully Boy,Ranveer Singh,Dance
4,Mungda,Total Dhamaal,"Jyotica Tangri, Shaan, Subhro Ganguly",Dance
5,Tere Bin,Simmba,"Asees Kaur, Rahat Fateh Ali Khan, Tanishk Bagchi",Romantic
6,Gali Gali,KGF,Neha Kakkar,Dance
7,Chamma Chamma,Fraud Saiyaan,"Arun, Ikka, Neha Kakkar, Romy",Dance
8,Mere Gully Mein,Gully Boy,Ranveer Singh,Dance
9,Kamariya,Mitron,Darshan Raval,Dance
10,Ek Ladki Ko Dekha Toh Aisa Laga,Ek Ladki Ko Dekha Toh Aisa Laga,"Darshan Raval, Rochak Kohli",Romantic
11,Swag Se Swagat,Tiger Zinda Hai,"Neha Bhasin, Vishal Dadlani",Dance
12,Poster Lagwa Do,Luka Chuppi,"Mika Singh, Sunanda Sharma",Dance
13,Daaru Wargi,Cheat India,Guru Randhawa,Dance
14,Dilbar,Satyameva Jayate,"Dhvani Bhanushali, Ikka, Neha Kakkar",Dance
15,Proper Patola,Namaste England,"Aastha Gill, Badshah, Diljit Dosanjh",Dance
16,Doori,Gully Boy,Ranveer Singh,Dance
17,Dil Diyan Gallan,Tiger Zinda Hai,Atif Aslam,Romantic
18,Husn Parcham,Zero,"Bhoomi Trivedi, Raja Kumari",Dance
19,Bom Diggy Diggy,Sonu Ke Titu Ki Sweety,"Jasmin Walia, Zack Knight",Dance
20,Issaqbaazi,Zero,"Divya Kumar, Sukhwinder Singh",Dance
21,Mere Naam Tu,Zero,Abhay Jodhpurkar,Romantic
22,High Rated Gabru – Nawabzaade,Nawabzaade,Guru Randhawa,Dance
23,Dekhte Dekhte,Batti Gul Meter Chalu,Atif Aslam,Romantic
24,Zingaat,Dhadak,"Ajay, Atul",Dance
25,Tareefan,Veere Di Wedding,Badshah,Bollywood
26,Mile Ho Tum (Reprise),Fever,"Neha Kakkar, Tony Kakkar",Romantic
27,Dil Chori,Sonu Ke Titu Ki Sweety,"Ishers, Simar Kaur, Yo Yo Honey Singh",Dance
28,Tere Naal Nachna,Nawabzaade,"Badshah, Sunanda Sharma",Dance
29,Dil Meri Na Sune,Genius,Atif Aslam,Romantic
30,Dhadak Title Track,Dhadak,"Ajay Gogavale, Shreya Ghoshal",Romantic
31,Heeriye,Race 3,"Deep Money, Meet Bros, Neha Bhasin",DanceRomantic
32,Chogada,Loveratri,"Asees Kaur, Darshan Raval",Dance
33,Gud Naal Ishq Mitha,Ek Ladki Ko Dekha Toh Aisa Laga,"Harshdeep Kaur, Navraj Hans",Dance
34,Paniyon Sa,Satyameva Jayate,"Atif Aslam, Tulsi Kumar",Romantic
35,Milegi Milegi,Stree,Mika Singh,Dance
36,Morni Banke,Badhaai Ho,"Guru Randhawa, Neha Kakkar",Dance
37,Bhare Bazaar,Namaste England,"B Praak, Badshah, Payal Dev, Vishal Dadlani",Dance
38,Khalibali,Padmaavat,Shivam Pathak,Dance
39,Aao Kabhi Haveli Pe,Stree,"Badshah, Jigar, Nikhita Gandhi, Sachin Sanghvi",Dance
40,Badri Ki Dulhania,Badrinath Ki Dulhania,"Dev Negi, Ikka, Monali Thakur, Neha Kakkar",Dance
41,Cheez Badi,Machine,"Neha Kakkar, Udit Narayan",Dance
42,Dholida,Loveratri,"Neha Kakkar, Palak Muchchal, Raja Hassan, Udit Narayan",Dance
43,Sweetheart,Kedarnath,Dev Negi,Dance
44,Namo Namo,Kedarnath,Amit Trivedi,Devotional
45,Qaafirana,Kedarnath,"Arijit Singh, Nikhita Gandhi",Romantic
46,Tu Hi Re,2,"Armaan Malik, Shashaa Tirupati",Dance
47,Chhote Chhote Peg,Sonu Ke Titu Ki Sweety,"Navraj Hans, Neha Kakkar, Yo Yo Honey Singh",Dance
48,Galti Se Mistake,Jagga Jasoos,"Amit Mishra, Arijit Singh",Dance
49,Phir Mulaaqat,Cheat India,Jubin Nautiyal,Romantic
50,Kala Chashma,Baar Baar Dekho,"Amar Arshi, Badshah, Neha Kakkar",Dance
51,Mantoiyat,Manto,Raftaar,Bollywood
52,Nashe Si Chadh Gayi,Befikre,Arijit Singh,Dance
53,Mera Pyar Tera Pyar,Jalebi,Arijit Singh,RomanticSad
54,Ding Dang,Munna Michael,"Amit Mishra, Antara Mitra",Dance
55,Main Tera Boyfriend,Raabta,"Arijit Singh, Meet Bros, Neha Kakkar",Dance
56,Laila Main Laila,Raees,Pawni Pandey,Dance
57,Ghoomar,Padmaavat,"Shreya Ghoshal, Swaroop Khan",Dance
58,Rafta Rafta Medley,Yamla Pagla Deewana Phir Se,"Akash Ojha, Disha Sharma, Jordi Patel, Rekha, Sonakshi Sinha, Vishal Mishra",Dance
59,Pal,Jalebi,"Arijit Singh, Shreya Ghoshal",Romantic
60,Patola,Black Mail,Guru Randhawa,Dance
61,Pallo Latke,Shaadi Mein Zaroor Aana,"Fazilpuria, Jyotica Tangri, Yasser Desai",Dance
62,Main Badhiya Tu Bhi Badhiya,Sanju,"Sonu Nigam, Sunidhi Chauhan",Bollywood
63,Billionaire,Baazaar,"Simar Kaur, Singhsta, Yo Yo Honey Singh",Dance
64,This Party Is Over Now,Mitron,Yo Yo Honey Singh,Dance
65,Heer Badnaam,Zero,Romy,Dance
66,Tera Hua,Loveratri,Atif Aslam,Romantic
67,Jaan Nisaar,Kedarnath,Arijit Singh,Romantic
68,Akh Lad Jaaye,Loveratri,"Asees Kaur, Badshah, Jubin Nautiyal",DanceRomantic
69,Rangtaari,Loveratri,"Dev Negi, Yo Yo Honey Singh",Dance
70,The Humma Song,Ok Jaanu,"Badshah, Jubin Nautiyal, Shashaa Tirupati",Dance
71,Pehli Baar,Dhadak,Ajay Gogavale,Romantic
72,Tera Yaar Hoon Main,Sonu Ke Titu Ki Sweety,Arijit Singh,RomanticSad
73,Dilbaro,Raazi,"Harshdeep Kaur, Shankar Mahadevan, Vibha Saraf",Bollywood
74,Chhod Diya,Baazaar,Arijit Singh,Sad
75,Maine Tujhko Dekha,Golmaal Again,"Neeraj Shridhar, Sukriti Kakar",Dance
76,Allah Duhai Hai,Race 3,"Amit Mishra, Jonita Gandhi, Sreerama Chandra",Dance
77,Cham Cham,Baaghi,Monali Thakur,Dance
78,Kar Har Maidaan Fateh,Sanju,"Shreya Ghoshal, Sukhwinder Singh",Motivational
79,Kamariya,Stree,"Aastha Gill, Divya Kumar, Jigar Saraiya, Sachin Sanghvi",Dance
80,Tamma Tamma Again,Badrinath Ki Dulhania,"Anuradha Paudwal, Badshah, Bappi Lahiri",Dance
81,Tera Fitoor,Genius,Arijit Singh,Romantic
82,Mere Rashke Qamar,Baadshaho,"Nusrat Fateh Ali Khan, Rahat Fateh Ali Khan",Romantic
83,The Breakup Song,Ae Dil Hai Mushkil,"Arijit Singh, Badshah, Jonita Gandhi, Nakash Aziz",Dance
84,Naino Ne Bandhi,Gold,Yasser Desai,Romantic
85,Sanu Ek Pal Chain,Raid,Rahat Fateh Ali Khan,Romantic
86,Ban Ja Rani,Tumhari Sulu,Guru Randhawa,DanceRomantic
87,Zaalima,Raees,"Arijit Singh, Harshdeep Kaur",DanceRomantic
88,Baarish,Half Girlfriend,"Ash King, Shashaa Tirupati",Romantic
89,Aashiq Banaya Aapne,Hate Story 4,"Himesh Reshammiya, Neha Kakkar",Dance
90,Ek Do Teen Song,Baaghi 2,Shreya Ghoshal,Dance
91,Tere Liye,Namaste England,"Akanksha Bhandari, Atif Aslam",Romantic
92,Nazam Nazam,Bareilly Ki Barfi,"Arko, Ayushman Khurana",Romantic
93,Good Morning,Ek Ladki Ko Dekha Toh Aisa Laga,"Shannon Donald, Vishal Dadlani",Bollywood
94,O Saathi,Baaghi 2,"Atif Aslam, Payal Dev",Romantic
95,Tere Jaisa,Satyameva Jayate,"Arko, Tulsi Kumar",Romantic
96,Mera Intkam Dekhegi,Shaadi Mein Zaroor Aana,Krishna Beuraa,Sad
97,Gerua,Dilwale,"Antara Mitra, Arijit Singh",Romantic
98,Suraiyya,Thugs of Hindostan,"Shreya Ghoshal, Vishal Dadlani",Dance
99,Gold Tamba,Batti Gul Meter Chalu,Nakash Aziz,Dance
100,Ae Dil Hai Mushkil,Ae Dil Hai Mushkil,Arijit Singh,Sad
101,Prem Ratan Dhan Payo,Prem Ratan Dhan Payo,Palak Muchhal,DanceRomantic
102,Mohabbat,Fanney Khan,Sunidhi Chauhan,Dance
103,Nainowale Ne,Padmaavat,Neeti Mohan,Romantic
104,Mummy Kasam,Nawabzaade,"Gurinder Seagal, Payal Dev",Dance
105,Nasha,Game Paisa Ladki,Amit Gupta,RomanticSensual
106,Bulleya,Ae Dil Hai Mushkil,"Amit Mishra, Shilpa Rao",Dance
107,Kar Gayi Chull,Kapoor & Sons,"Badshah, Fazilpuria, Neha Kakkar, Sukriti Kakar",Dance
108,Musafir,Sweetiee Weds NRI,"Atif Aslam, Palak Muchhal",Sad
109,Binte Dil,Padmaavat,Arijit Singh,Dance
110,Halka Halka,Fanney Khan,"Divya Kumar, Sunidhi Chauhan",Romantic
111,Humsafar,Badrinath Ki Dulhania,"Akhil Sachdeva, Mansheel Gujral",RomanticSad
112,Chad Gayi Hai,Gold,"Jigar, Sachin Sanghvi, Vishal Dadlani",Dance
113,Tum Mere Ho,Hate Story 4,"Amrita Singh, Jubin Nautiyal",RomanticSensual
114,Bole Chudiyan,Kabhi Khushi Kabhie Gham,"Alka Yagnik, Amit Kumar, Kavita Krishnamurthy, Sonu Nigam, Udit Narayan",DanceRomantic
115,Sawarne Lage,Mitron,Jubin Nautiyal,Romantic
116,Chalti Hai Kya 9 Se 12,Judwaa 2,"Dev Negi, Neha Kakkar",Dance
117,Selfish,Race 3,"Atif Aslam, Iulia Vantur",Romantic
118,Oonchi Hai Building,Judwaa 2,"Anu Malik, Neha Kakkar",Dance
